,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
141,0,102,subaru,turbo,four,sedan,4wd,front,97,0.826525709,0.908333333,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,9.791666667,Medium,0,1
142,0,89,subaru,std,four,wagon,fwd,front,97,0.833733782,0.908333333,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463,8.392857143,Low,0,1
143,0,89,subaru,std,four,wagon,fwd,front,97,0.833733782,0.908333333,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198,9.4,Low,0,1
144,0,85,subaru,std,four,wagon,4wd,front,96.9,0.83421432,0.908333333,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,8013,10.2173913,Low,0,1
145,0,85,subaru,turbo,four,wagon,4wd,front,96.9,0.83421432,0.908333333,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,10.2173913,Medium,0,1
146,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.762614128,0.883333333,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,5348,6.714285714,Low,0,1
147,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.762614128,0.883333333,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6338,7.580645161,Low,0,1
148,1,74,toyota,std,four,hatchback,fwd,front,95.7,0.762614128,0.883333333,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6488,7.580645161,Low,0,1
149,0,77,toyota,std,four,wagon,fwd,front,95.7,0.81547333,0.883333333,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918,7.580645161,Low,0,1
150,0,81,toyota,std,four,wagon,4wd,front,95.7,0.81547333,0.883333333,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898,8.703703704,Low,0,1
151,0,91,toyota,std,four,wagon,4wd,front,95.7,0.81547333,0.883333333,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778,8.703703704,Low,0,1
152,0,91,toyota,std,four,sedan,fwd,front,95.7,0.799135031,0.894444444,53,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,6938,7.833333333,Low,0,1
153,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.799135031,0.894444444,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7198,7.833333333,Low,0,1
154,0,91,toyota,std,four,sedan,fwd,front,95.7,0.799135031,0.894444444,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898,6.911764706,Low,1,0
155,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.799135031,0.894444444,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788,6.184210526,Low,1,0
156,0,91,toyota,std,four,sedan,fwd,front,95.7,0.799135031,0.894444444,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738,6.184210526,Low,0,1
157,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.799135031,0.894444444,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8358,8.392857143,Low,0,1
158,0,91,toyota,std,four,sedan,fwd,front,95.7,0.799135031,0.894444444,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,9258,8.392857143,Low,0,1
159,1,168,toyota,std,two,sedan,rwd,front,94.5,0.810667948,0.888888889,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8058,8.103448276,Low,0,1
160,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.810667948,0.888888889,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238,8.103448276,Low,0,1
161,1,168,toyota,std,two,sedan,rwd,front,94.5,0.810667948,0.888888889,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298,9.038461538,Medium,0,1
162,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.810667948,0.888888889,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538,9.038461538,Medium,0,1
163,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.846708313,0.911111111,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449,9.791666667,Medium,0,1
164,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.846708313,0.911111111,52,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639,9.791666667,Medium,0,1
165,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.846708313,0.911111111,52,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989,9.791666667,Medium,0,1
166,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.846708313,0.911111111,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199,9.791666667,Medium,0,1
167,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.846708313,0.911111111,52,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549,9.791666667,Medium,0,1
168,2,134,toyota,std,two,convertible,rwd,front,98.4,0.846708313,0.911111111,53,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669,9.791666667,Medium,0,1
169,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.843825084,0.923611111,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948,8.103448276,Low,0,1
170,-1,65,toyota,turbo,four,sedan,fwd,front,102.4,0.843825084,0.923611111,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698,7.833333333,Low,1,0
171,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.843825084,0.923611111,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988,8.703703704,Low,0,1
172,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.843825084,0.923611111,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898,8.703703704,Low,0,1
173,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.843825084,0.923611111,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248,8.703703704,Low,0,1
174,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.881787602,0.940277778,52,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558,11.75,High,0,1
175,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.881787602,0.940277778,52,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998,12.36842105,High,0,1
176,-1,90,toyota,std,four,sedan,rwd,front,104.5,0.902450745,0.923611111,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690,11.75,High,0,1
177,-1,122,toyota,std,four,wagon,rwd,front,104.5,0.902450745,0.923611111,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750,12.36842105,High,0,1
178,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7775,6.351351351,Low,1,0
179,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,7975,8.703703704,Low,0,1
180,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995,6.351351351,Low,1,0
181,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8195,8.703703704,Low,0,1
182,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495,8.703703704,Low,0,1
183,2,94,volkswagen,turbo,four,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495,6.351351351,Low,1,0
184,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094,0.909722222,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9995,9.038461538,Low,0,1
185,3,122,volkswagen,std,two,convertible,fwd,front,94.5,0.765497357,0.891666667,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595,9.791666667,Low,0,1
186,3,256,volkswagen,std,two,hatchback,fwd,front,94.5,0.796251802,0.888888889,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980,9.791666667,Low,0,1
187,0,122,volkswagen,std,four,sedan,fwd,front,100.4,0.865929841,0.929166667,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295,12.36842105,Medium,0,1
188,0,122,volkswagen,turbo,four,sedan,fwd,front,100.4,0.865929841,0.929166667,55.1,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,13845,7.121212121,Low,1,0
189,0,122,volkswagen,std,four,wagon,fwd,front,100.4,0.879865449,0.929166667,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,12290,9.4,Low,0,1
190,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.907256127,0.933333333,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940,10.2173913,Medium,0,1
191,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.907256127,0.933333333,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415,10.2173913,Medium,0,1
192,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.907256127,0.933333333,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985,9.791666667,Medium,0,1
193,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.907256127,0.933333333,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515,9.791666667,Medium,0,1
194,-2,103,volvo,turbo,four,sedan,rwd,front,104.3,0.907256127,0.933333333,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420,13.82352941,High,0,1
195,-1,74,volvo,turbo,four,wagon,rwd,front,104.3,0.907256127,0.933333333,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950,13.82352941,High,0,1
196,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.907256127,0.956944444,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845,10.2173913,Medium,0,1
197,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.907256127,0.955555556,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045,12.36842105,High,0,1
198,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.907256127,0.956944444,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485,13.05555556,Medium,0,1
199,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.907256127,0.956944444,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470,9.038461538,Medium,1,0
200,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.907256127,0.956944444,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625,12.36842105,Medium,0,1
